ID,A,B,C,D,E,F,G,H,I,J,Target
23,66.03926284393562,46.036516689833405,13,1.7335272752239814,9,569.4490926492215,6,2,64.98120562954364,2,1
24,35.15446063313726,45.335329515462234,10,2.920659575200479,5,519.5618088421762,0,1,89.50240656334984,1,0
25,38.14958786559296,31.75110198505324,5,8.824520364372898,0,576.966386716904,4,1,51.220841102206556,1,0
26,38.61518302856377,49.101291366343844,4,3.065201726795225,0,535.3497675845649,4,3,40.2789413718872,3,1
27,59.02278342942439,27.986225842745384,9,8.418971814936235,9,520.5243865409623,3,2,69.7841567159014,2,0
28,92.85029103179924,35.549033630135426,12,7.319945661652369,7,503.6567247558344,6,4,43.326979920359975,4,1
29,30.372384998435198,24.6222613111129,8,7.571541953359808,0,585.0915848555135,6,0,62.09483278869217,0,0
30,40.14090902107752,41.33573744586421,2,5.789157233254651,0,533.3611494352224,1,3,53.76854830407191,3,1
31,43.53144583442813,42.7385673882479,7,8.90827938680512,5,567.5001924954818,0,3,86.09997640246607,3,0
32,62.57194137016577,25.63696658219429,13,8.970368636916245,5,569.9947530136146,4,4,75.57931580986698,4,0
33,17.84134646899336,21.165196232103657,6,5.995164876421262,3,590.6708558779726,3,5,85.0483194904844,5,0
34,7.042613780942466,43.92938827810819,13,8.938441661198487,3,537.4111304681074,3,3,86.81841550161215,3,0
35,51.26722645703225,25.23262408390672,11,6.555950065992583,4,509.0546222739632,6,0,82.61119865246924,0,0
36,83.04597039279004,29.909289975930143,1,5.428036388254537,2,501.5240391613751,5,2,84.62760180220359,2,1
37,44.669320256912215,28.428536460381217,0,3.073988403202116,4,557.581820727953,1,2,50.74796388639607,2,1
38,77.42535713689834,20.453030644750033,9,7.611641721692514,7,558.6154766036104,1,5,78.58699278510569,5,0
39,12.93350846151825,32.03606224688021,4,5.23289332797026,6,523.2292893846014,6,5,55.46518591206854,5,1
40,28.838394115706016,33.87666846667164,5,6.990384431823189,0,542.2422976062355,6,4,56.846226248264,4,0
41,49.68250644623343,38.36706008521502,11,1.0272368008643102,4,596.3795384753058,0,1,82.51361527912431,1,1
42,89.77939452034545,27.385861094334913,9,9.47036679976055,3,534.2620714154917,6,2,83.0962721558555,2,1
43,10.40981175455488,43.80055543583265,3,3.903439145396859,5,531.9639770702706,2,4,44.419570181055704,4,1
44,42.92314486534685,47.2576337950872,11,2.0182400642952922,5,501.15482013488537,3,5,32.25659038047835,5,1
45,90.5209094401459,46.735791402859554,13,9.546959169502804,2,529.5113153339329,1,0,53.08757429303866,0,1
46,71.10143352045368,21.59453637881993,11,6.161515272585423,4,574.2318772679877,2,3,83.42672020460307,3,0
47,46.702856004953425,29.99456997852267,8,2.0878542624587033,9,598.2965616200024,6,0,43.08251220762217,0,1
48,59.09092651579798,32.140160750638685,1,8.447739229091345,0,537.2714605474501,6,4,69.2708683968919,4,1
49,60.28847690507635,30.44948542657854,13,9.374681816057247,5,561.0492386225627,2,5,76.4340371066159,5,0
50,95.4812413398618,25.391328647623602,5,2.6233435124306825,2,539.8768848082368,6,2,39.54993280050712,2,0
51,65.84049123812291,31.947340729297338,13,8.46781382271787,2,538.729109635152,1,1,60.323363994983,1,0
52,59.64673971328302,33.615778653114646,2,9.006250585370722,1,575.6389021841177,6,0,47.800711103824064,0,0
53,3.3759069421404337,35.63594331801692,0,4.917434914662737,1,570.5348126454911,3,1,67.83010263233805,1,0
54,64.29664812450204,26.85473816353008,10,2.938793179468292,1,567.2454718469993,3,0,68.01330423219676,0,0
55,45.85689845344541,45.06723292005748,12,7.934779742653239,8,598.3303351789918,6,1,78.61279792172948,1,1
56,57.52735260274771,47.639708886348416,5,3.1814372331438445,7,560.0417004096627,1,3,43.57195282755922,3,1
57,43.215836756610734,27.511410390299353,0,6.285520746038939,9,593.244010685188,0,4,78.20339928949238,4,0
58,7.3223745338985,43.16780452283275,9,7.387923820924831,8,543.7976220615463,3,0,44.96822215823688,0,0
59,28.055467740120292,31.591930506388103,1,2.7726015113032525,1,565.4731272250134,6,3,34.810916586386966,3,1
60,29.623619298689,39.52403508574086,12,8.86982889476902,4,592.7521408414333,6,5,38.31715636614098,5,1
61,1.3607709400242067,37.42625959708373,2,5.632433512150955,5,557.988223816954,2,2,82.3633318513146,2,0
62,19.084581565193933,21.841866055233435,12,8.543052592813297,6,583.6767147969418,2,4,86.18608227141169,4,0
63,96.55250177529594,39.75799483288469,12,9.054007245294311,5,543.4113616475846,2,3,65.8867848586496,3,0
64,63.56831433296353,21.284629658402014,13,7.059037911937642,8,583.7925964222314,6,4,67.62840638370707,4,1
65,90.25527446975225,36.32281411779988,6,6.747892579498465,5,598.064541350704,2,5,30.771298422825588,5,0
66,16.90857167406355,25.78144579431708,3,7.715099740133523,2,542.3880259480609,6,1,82.75915777603922,1,1
67,25.808557757372448,38.889337514401866,5,2.1193929338808766,9,512.3585657923354,6,0,48.30521767311133,0,1
68,91.62515846402951,39.96520722964898,7,5.321989327110715,5,545.970654682547,1,2,62.01861278757096,2,1
69,32.544534257198045,21.514688026281178,3,1.4090117638705744,3,597.5046495300568,1,3,66.78492101012435,3,1
70,70.40185325763684,42.07493448002647,9,1.8367196194927273,4,574.7841419952942,3,0,68.66047014349219,0,1
71,95.72472129962583,45.39432015331515,8,9.989554243063044,9,548.3237587134018,6,5,47.30863924454468,5,1
72,15.015403783437323,27.18367553230715,2,1.3680345779092637,6,524.8702150626588,5,0,73.48209669489042,0,0
73,4.618432955159183,37.732590842416485,7,4.063730669784134,6,561.1465336222193,4,5,37.099473328782835,5,0
74,35.00347951954977,46.16964608432015,2,2.8613619552228267,1,590.3309253061482,5,2,44.238464725392674,2,0
75,8.808033916256019,33.97156736633607,5,6.226093635579704,6,536.7479108771089,4,4,61.163947735755386,4,1
76,96.17489624649932,37.510357237026355,12,7.168938918641772,7,575.8393420175498,5,3,59.517366446351744,3,1
77,18.78581429056828,30.951786922096797,2,2.299101495229232,7,524.8143944913924,5,5,88.59146200245492,5,0
78,48.4469640075028,46.22311269055152,3,5.411482223893092,1,522.8611201764601,5,4,70.46233993499752,4,0
79,57.08760904764628,46.44030901872662,1,2.2038768151956187,7,571.0912562341794,3,1,65.0482402292856,1,1
80,53.74206531072482,31.550420455539367,4,7.45814221972851,5,529.3802254033506,2,1,81.0559606814872,1,1
81,39.42967462994657,24.246403347961117,2,1.4719488722664937,3,539.266095055718,3,0,76.06348034577584,0,1
82,29.345617700134923,25.557048817530337,12,6.837284517644665,6,579.4829146494034,2,5,41.483401324122546,5,0
83,33.524290194831224,36.21817732587501,12,3.7124278044602868,3,571.6234221387573,0,5,56.271906829112794,5,1
84,46.497098321742214,27.667891313551547,8,8.257525961639764,3,559.7311974324684,3,2,67.82113010787909,2,0
85,99.05665533205394,26.10662604164406,5,9.002048551149077,5,531.4143886469863,4,1,40.170621427435506,1,0
86,53.80643625950714,38.16631764637813,9,3.1835870960233645,6,586.5595550657322,0,2,65.52837225447837,2,0
87,17.096491751336973,41.96172050913833,13,7.86629744925197,3,550.3570564834951,6,0,56.49826667867006,0,0
88,65.45012056775803,30.25021671919151,3,2.982442952957988,8,543.7864367080064,1,0,69.67621682530833,0,0
89,96.33191998153742,47.311987507609274,8,6.732100996450402,4,523.6505836597489,6,1,66.27773358842374,1,1
90,72.88020074035694,34.717510401241825,1,2.6237289879226218,0,551.297033756563,0,4,73.34730117306356,4,0
91,38.9773991052958,46.79047156261788,10,3.5278032616716373,8,509.0176233840838,3,2,49.198999564094926,2,1
92,86.51543099818312,28.617496060745584,12,5.501736475898417,6,585.7229157700726,0,5,85.4793099389197,5,1
93,85.96660553124352,32.07987011163985,2,1.8126861022676106,3,528.2161662095908,1,3,72.13791227542464,3,0
94,24.090764807121626,48.63934904713474,5,7.828561832266756,4,535.0558161168668,4,0,81.80351071564326,0,1
95,39.288626006635155,48.38634784722716,12,3.448022029581649,0,544.2651344036179,4,4,55.96318306271826,4,1
96,59.78374914276197,36.0404710539982,7,7.253040932342598,8,514.0476531511486,1,0,64.01891296307585,0,0
97,56.452850591907776,31.737387549276463,6,9.508843277394604,5,540.3484704348277,2,4,86.38011156151435,4,0
98,22.851377611357307,31.455130011622543,1,9.81584616557078,5,556.7806202650785,1,2,70.6819437899133,2,0
99,12.351280828272124,45.697723567240374,2,8.353970216719741,9,565.3231638882274,4,4,36.29684054743037,4,0
100,79.23717291581045,22.944778092570928,3,7.608948364374806,7,500.63746897922357,0,3,76.18454685729401,3,0
101,69.14718276678313,43.337774637572664,11,2.717041824140776,1,500.489287185875,5,5,70.55843087128787,5,0
102,1.898818407086288,46.60941298006358,4,9.317071298526557,0,510.0859032767089,0,2,49.54397121636637,2,0
103,3.964291573523448,25.39871801462951,2,6.124375135909917,2,577.0870751203196,2,0,65.93302868031998,0,1
104,25.847078324871024,20.594881600263,6,9.516073370283301,3,528.5320604734015,3,3,72.37035120774676,3,1
105,83.5124127431034,43.45162393039742,5,9.573874736789948,0,510.7016883864971,4,5,88.5712608078078,5,0
106,39.4925998097426,24.75835739804554,7,5.824231029451415,7,583.6757368072849,4,1,62.58401817738922,1,0
107,45.561637544803624,43.16484202410322,8,6.392639431519942,3,549.6878951521081,4,3,68.58332582219188,3,1
108,81.84275301391419,23.035700739630467,6,1.9991016688178844,5,504.7953779993946,6,2,77.74469016769791,2,1
109,31.669965948849647,24.81828656991957,3,7.679348906210284,6,512.4656277050732,3,3,49.55845776477932,3,0
110,27.792982044849406,31.426830700366892,11,1.3506700058709389,4,568.185375067255,6,5,45.078059855737685,5,0
111,5.636885710716834,39.57936899989082,9,5.079020069076359,7,564.094951489385,6,4,61.7186467648567,4,1
112,77.92886139335208,21.1711533078085,9,4.872936971826463,5,542.5286709507609,0,3,55.26096737070363,3,0
113,60.90781312083901,36.03691555689494,3,6.1359490998794834,7,511.19655805715115,5,1,47.157997597965675,1,1
114,93.79188219898873,36.8368495838704,7,2.636065722384294,4,510.31470767766695,4,5,59.961502865944766,5,0
115,69.0194513532933,46.04756430884186,11,5.783727753423652,8,590.7319300413127,2,0,70.45765650365625,0,0
116,55.38366394874554,34.88609667608259,13,6.5695208271145145,6,514.1647731491661,5,0,31.990939944996196,0,1
117,28.23748468176668,49.26795741099194,6,3.214844093686948,8,590.8195599019673,0,2,42.50867661736858,2,1
118,19.746181822809536,43.6665892856009,3,5.851084249272906,2,506.1739629679029,1,0,74.03957605455902,0,1
119,5.966017153667384,36.81985062162213,11,4.669783177160394,2,527.5440034343138,6,1,57.04385472992071,1,1
120,77.20700624562394,23.858758851847593,6,6.698820633533613,5,578.6621290335054,1,4,64.78279116822418,4,1
121,34.328768455781855,29.935942460366956,5,8.766401640467594,6,519.0548278583185,2,3,40.651041464134295,3,1
122,69.87923616923068,42.87303661884608,2,8.290093869628155,2,539.4318735410645,5,5,64.93086608515009,5,0
123,50.43533002293348,30.317758799893895,1,1.865048060138661,8,521.5965485258007,6,5,79.03902647912678,5,0
124,85.92041809463993,23.145633388510863,3,8.261339255591178,6,564.8088515268541,6,3,51.48171911107387,3,0
125,48.755283322406854,42.82338559518871,1,2.872696815150609,6,543.4377163273579,4,3,84.36015942501328,3,1
126,11.028533978251993,22.449606820138644,5,4.016239185667745,1,582.7081386816827,2,1,86.61289278498643,1,0
127,50.73045712464878,33.49189707192454,7,6.761234041155307,2,533.4775876861324,5,2,80.39153014953291,2,0
128,83.10619691622907,21.917320467137184,2,4.763618924615571,1,541.0080000700376,4,5,68.44204236433792,5,1
129,68.54380958489435,48.69293688972964,7,5.309060035959974,1,593.0390386894685,0,0,72.97072856548576,0,1
130,95.99611470168493,21.12710852313757,7,9.243681019170868,6,506.4809899324587,0,0,64.5339389061325,0,1
131,90.54560855750307,23.817758287404953,0,1.6939282151993473,7,577.4464833298891,3,2,48.617140186162366,2,1
132,60.48061543912281,32.95360881451668,2,8.180795070492408,2,500.7868747693332,1,1,78.738393527745,1,0
133,98.62896807513421,25.852235137009025,11,9.92140012099037,0,540.178221568596,4,3,67.71454248064974,3,1
134,70.58982628257674,20.134397976575578,12,1.6830673360488237,4,565.4277601718692,5,5,86.9335229683916,5,1
135,43.99475181951963,25.36376741995305,9,1.6207174210684565,8,562.3673085532268,0,2,82.5511515676898,2,1
136,28.969592064124928,37.347807158571975,12,4.200417142536361,3,514.4592629298827,2,3,37.99887467950143,3,0
137,95.26830201740898,21.133505610736997,7,6.142254885957141,1,598.048434676267,5,4,83.72470889061918,4,0
138,24.174986692932716,44.97159493961339,9,1.2166696706821896,3,581.8804470593815,5,4,70.52639865816587,4,1
139,14.685911475109117,28.82471698308789,9,3.795430924548784,4,526.2274407924,0,4,88.16325314325644,4,0
140,39.38879014436459,23.262492213875554,11,2.35258890124533,2,596.0943571666603,6,4,86.98115656701503,4,0
141,58.28979751530713,36.37819622163012,1,6.441664143219953,1,537.358337429145,3,5,38.877035299622335,5,0
142,9.544465697804377,49.18309927313165,0,4.414976514680644,4,516.8317515136374,1,5,48.39872393577568,5,1
143,5.965865112773358,24.311236524202883,2,8.327762165588055,0,509.4538258053425,1,5,74.6480504220309,5,0
144,6.770006670657468,20.99814209044492,0,1.3360976087288776,8,538.1159149127832,1,3,79.13235924070416,3,0
145,11.312378166649202,37.95037964918278,10,4.327659180359921,2,507.9898054647172,3,0,65.20973610537446,0,1
146,90.14486257231913,44.52546704299448,10,7.96635447514561,3,526.6631366716725,1,5,76.25660935429518,5,0
147,20.036046066186852,23.373147213430535,2,2.560631784601033,0,570.6452487110686,3,2,43.63626947418002,2,0
148,49.4188898209231,45.53645239090324,10,6.547435748824818,0,516.8610090629261,6,0,72.63125991387138,0,1
149,15.493293436546525,23.655445822879628,3,9.391767600581193,5,578.2129396576297,1,4,64.43920160247542,4,1
150,93.43809702156295,48.530744780525495,11,5.856266604812302,1,512.6022854095537,0,2,59.94506397429298,2,0
151,8.534895381506619,42.78387234918945,10,8.282992407903102,5,587.1545074960012,5,1,61.695040269357754,1,1
152,6.451998228686753,42.5565564070031,9,3.0977946004082395,7,517.1931266529335,4,0,35.172458775791085,0,0
153,2.0869480417667097,42.29661619046577,6,7.904590122921734,3,501.53419680041475,6,4,74.16704726641447,4,0
154,59.44054362274182,45.763766556101174,13,3.3734843257303773,7,520.3100690926206,1,0,43.18062415218226,0,1
155,38.75622315878164,35.72383782307516,0,5.335860304003323,8,508.8148720803239,3,1,68.35427206140096,1,0
156,33.647380266779614,33.785651211178454,1,7.655463764969703,6,580.0095814463663,5,5,56.02847270587306,5,1
157,60.342649745956116,35.48520495016406,10,7.311576771842627,2,569.2410651044293,3,1,34.858553276526344,1,1
158,38.57470109628463,31.22273454998436,11,5.657461093668769,1,590.0973603247427,3,3,83.37211659931907,3,0
159,8.784496582564817,23.627266664765113,8,5.310103841385767,6,532.523047111871,1,2,30.141048968627178,2,1
160,62.44280841729547,47.66616858566637,13,2.4009174397907334,9,547.0628657971266,4,5,85.1933048926062,5,1
161,51.68916968273266,31.40112824897851,5,4.9521184968922904,9,521.9109279691237,6,0,55.36520658409257,0,0
162,51.722541549686945,29.72112889778702,9,1.0869046179529418,8,574.6058455084493,2,0,47.776908700327155,0,1
163,96.32704518797034,42.551200770408585,8,8.544997825840504,4,581.3033200774738,3,1,83.6583432776045,1,0
164,8.763165432756043,26.47424224843628,6,7.379819032280777,0,531.3120645195588,6,0,74.36173985826845,0,0
165,5.306313809035012,34.0684674947125,4,6.001789268617089,8,501.1525481874072,1,3,45.89548689455032,3,1
166,34.488950052768715,20.362993139017725,9,8.914000964809478,6,584.9751325430838,0,0,59.004652809062755,0,0
167,94.67555843292145,22.740152197893934,4,6.654054407751682,3,594.9816029532618,3,3,50.4125731442214,3,0
168,59.59530195423466,25.41979425078743,1,9.823077840755486,9,596.1933346824678,4,3,46.45779519450382,3,0
169,31.211826799375455,31.7555177680393,11,8.5894961216162,0,547.3655021624726,5,4,57.47688816160296,4,1
170,36.72025054419477,21.19365990237514,6,4.165432082024185,3,548.0680166362753,6,0,89.56443566598064,0,1
171,1.9583560554304864,22.78564375285925,10,7.674280953232276,3,592.0336968489405,4,4,68.24959638587237,4,0
172,42.29666496006346,39.396069077606114,5,3.9957757797703017,1,597.986411027698,4,4,64.1896923389728,4,1
173,49.95525577933481,26.96530312025584,6,7.746103935691064,8,559.5549266546305,2,1,37.81429758667363,1,0
174,12.563545260103716,42.90654354479611,10,3.7931214867219505,5,525.7547144843661,2,5,41.78758984119433,5,0
175,66.38470664591642,37.08492913398219,13,7.98284627064663,3,548.5854073860836,0,0,69.80198739305492,0,1
176,17.307118831639826,22.209010599415688,5,4.829401000740292,4,590.5985406750898,6,3,58.894078802809375,3,1
177,69.48734961518642,31.82924758172767,12,9.502543180792987,6,534.4630938761426,2,4,46.78535144302053,4,0
178,99.66771661297236,25.059335951346384,8,8.45362732352951,1,562.1731760528511,1,1,31.210950634049826,1,0
179,84.56785084405895,46.73699758833277,6,6.326425173043052,3,582.7058422835725,6,4,45.78006983492856,4,1
180,54.022255560884325,40.84560915440346,7,3.670776518938448,4,551.3840052800268,0,0,38.761320552739456,0,1
181,96.00485101719055,28.11706643255335,11,4.790235669561769,5,577.7241136081482,4,0,69.45663549625615,0,1
182,27.9566166490849,21.717374693382748,6,4.295542627109275,5,587.7561075409136,4,0,62.7664987688073,0,1
183,17.862118105402793,23.700481447868924,9,2.228910053173573,7,545.7368316399037,3,5,58.504885844242054,5,1
184,85.67450404619493,41.75051942819893,10,8.502210958515619,6,536.3133771011751,4,5,71.81219410784546,5,1
185,79.57413900386615,42.25827807182206,12,1.4528467872221074,1,540.647277559183,4,1,33.13295842865267,1,1
186,1.0055600202882298,25.31929906870316,5,9.363783423272379,7,593.0327560026018,3,4,52.196122502644215,4,0
187,77.59711509061357,26.770185740567975,5,1.8200746588014782,6,506.89302090348974,6,3,85.46882358016623,3,0
188,63.72593402927609,44.012511118327886,8,6.174946853776475,2,558.2088973060279,3,5,69.28787778419573,5,1
189,71.69231287768552,33.98595882239459,1,2.7585941739028685,2,508.0454393593074,0,1,44.145280410029336,1,0
190,43.29056880475144,36.403376572328874,10,8.450019270254582,4,590.4776470717895,1,0,50.052185037035414,0,1
191,68.61634699993563,44.99984487471704,3,8.9223721681465,6,551.7325905519338,6,4,49.195015075269396,4,0
192,31.185697212619633,43.92455754213491,12,3.59972204739702,3,540.8568073779892,1,4,72.59901304089789,4,1
193,96.09195625045777,33.5023023621592,11,2.341053442519507,1,553.8142146123516,1,4,45.42195757160903,4,0
194,64.90496980917236,30.75226723732932,4,1.7129367209794544,4,571.5864132313769,6,2,88.48021592505873,2,1
195,42.181186167280494,23.887922786576723,8,2.218586494032849,0,583.4670704166297,0,1,66.1685419400213,1,1
196,55.992653720616985,48.038726804047336,13,4.281256995126336,3,565.0089429009431,0,1,43.22978806403697,1,1
197,34.51802999762156,44.82466942226012,13,8.375410832376282,4,585.5584070749928,1,3,33.66215237081805,3,1
198,95.61783141614092,35.54231548719919,11,2.1883213974991333,1,571.4197711378536,0,3,39.28832265967756,3,1
199,75.12063476398325,28.837024711547933,2,1.1243742050644552,8,575.5592341105677,4,5,54.15700783310622,5,0
200,56.60665667441288,26.850109862383665,3,1.483215821252787,7,575.6025821667805,2,0,84.09903379509345,0,1
201,74.71967715057181,45.79084650725114,11,8.85343256005017,5,535.1957072831268,2,5,59.26984355682495,5,1
202,93.74245157261757,49.555773109924445,4,8.411119473635125,4,557.4139818055501,5,0,83.27488745376321,0,0
203,39.15075504695727,37.81349782987666,13,1.9622836756399316,3,599.4680936043586,0,5,34.1391439447197,5,1
204,8.59985152211616,40.16312962445268,2,1.190022443723041,1,559.1438580780779,0,5,62.19645287558659,5,1
205,12.051617184195061,31.096982640606534,10,1.663776691921317,3,525.4157866100242,3,1,83.27789715476399,1,1
206,45.07148883126565,28.97298139624695,4,8.57012027237629,9,511.6349502723221,1,5,72.21835505291027,5,0
207,77.89423162092257,49.10781309435904,1,3.2078082816859235,6,589.290578030336,6,5,77.07418355416328,5,1
208,28.371769656795767,32.05328539407421,10,4.780465317612293,9,556.5859161643732,4,1,51.441332606124334,1,1
209,48.03325972230965,31.064095911121107,2,7.952221659411787,5,568.7504993234922,0,4,74.6943259391264,4,0
210,84.77047002231146,32.88649955584961,6,8.17288762593704,9,569.3288160374709,4,5,37.223569364841566,5,1
211,5.205759070930981,49.62898628028633,7,2.5468710742116407,0,531.7733977557281,1,0,88.2663412181866,0,0
212,42.80470519020767,22.675278895902792,1,9.296112063739798,4,566.9691835059923,3,3,40.52627823151187,3,0
213,95.97228355950594,44.77479120892683,7,8.294395367740016,1,587.0353654195371,2,0,44.77861173957549,0,1
214,52.14397375389906,34.32575524209459,3,6.172269578639994,7,555.1539571893481,0,0,66.49990926272791,0,1
215,68.57378400680389,28.29709493473659,2,4.575422659620918,0,597.0860284690531,1,3,67.72345950656008,3,1
216,75.10572132182273,21.13354165355454,5,6.762018581001413,0,526.4427854828871,0,4,73.97667461054954,4,1
217,49.247421160455595,24.093613924497014,6,5.349082409837395,8,590.4914027264912,3,2,56.84594468098983,2,1
218,17.25792231763358,45.448589935154274,9,3.2096263973438717,9,522.1410512991562,6,3,67.32451992612575,3,0
219,37.76506646273781,29.322816601206227,9,2.68037173873655,7,550.8653616365475,1,0,72.09536912904107,0,0
220,74.6555476014305,22.324307726516615,11,5.888797231451864,1,567.0390299475264,4,2,73.36709495040196,2,0
221,18.438089357715405,26.816621410359218,0,3.3535559268788475,2,501.04550910998086,5,0,87.31537470785513,0,1
222,16.17810500887598,28.986552595778395,1,7.717348484461063,0,517.4078974189919,6,5,67.05167967708293,5,0
223,0.9276950252489522,40.7043043385234,6,6.658749267026638,8,535.2616220709893,2,4,45.8063781979277,4,0
224,51.38638722329036,22.816197677912395,3,5.806600569207241,7,560.0884861323993,1,2,81.66969011938497,2,1
225,98.77681540208854,29.562329820637597,8,7.664863683267893,7,509.47195818214794,5,1,30.21655503347113,1,1
226,63.66258816433101,41.586788703274166,8,2.603730272704513,3,539.2799962795241,1,3,80.58126924520275,3,0
227,95.82085705980687,33.2517179377448,3,2.9297656317325216,3,518.0924160704653,6,2,59.305493980345965,2,0
228,35.403517626217244,28.1909862542174,8,5.560434427620609,7,528.2591563375701,4,5,65.63358274143039,5,1
229,86.15072236795093,34.65382818638904,8,3.1047524208633495,5,594.9175408766534,3,4,87.99987494699253,4,1
230,63.4215745032681,24.624682815166274,1,5.9676769546008925,7,573.4326381673468,5,2,70.30829875009071,2,1
231,0.6260982269296679,40.09050008687916,9,5.066241210077419,1,531.2772264107347,2,0,80.39420974229118,0,0
232,29.951401730735718,29.768120409628693,10,8.94154843925315,9,588.9843226247667,6,4,73.0953298914814,4,0
233,8.761695731559671,27.55746767119986,13,5.327290543948661,5,595.9412020063478,2,5,62.79081340593659,5,0
234,83.85679469850373,33.011297453738315,8,2.8240415528828926,3,544.3135744334861,0,3,37.0109422576491,3,1
235,3.625239879449815,31.275777613103095,1,1.6798474794724019,3,599.0350204855256,2,2,71.44209484242026,2,1
236,12.059589374790571,40.25070379548072,6,7.205183447812808,4,553.7661168472462,3,0,37.9206760055352,0,1
237,27.556151261809863,42.38818693707907,1,2.6679419228108703,0,599.4845237603015,6,1,50.2367454927065,1,0
238,69.78107908007495,32.569963027068084,10,3.376591582397647,6,532.2271815416455,2,3,87.23998707272423,3,0
239,13.538220953038403,25.403439726210006,12,9.069438103881588,7,509.9138468582165,4,4,76.49080542260218,4,0
240,81.3737242898356,46.94375295011021,7,1.4718971154892748,2,566.1744163343741,3,3,31.44638149869389,3,1
241,90.01160768687777,49.265621479214595,9,7.8437503090871505,7,539.2719900392902,4,1,39.08819638609387,1,0
242,57.21338938431051,40.26176041877425,0,5.136531444087954,5,512.7547259857091,3,2,32.555541250911745,2,1
243,90.11073776011482,38.637501482189634,4,3.943836626037371,8,529.4969553382055,1,1,71.94128173645788,1,1
244,30.74965422371412,45.98241964735716,11,4.369388928921583,8,516.7433460638913,5,0,81.14993037796961,0,0
245,70.30346627726915,32.05756577464203,11,8.940031286457154,5,512.4916576315878,3,0,57.179999005244106,0,1
246,84.82790345330658,47.09256205694901,4,6.779316090186489,9,517.8179299626817,4,1,87.77967567869554,1,0
247,49.47527557669264,24.696320636073505,4,3.944904841518746,2,515.7849288113929,0,3,41.84609028338734,3,0
248,94.31498583728944,40.29152754510793,11,5.222228123070786,2,524.4087133746393,5,4,54.056484116794124,4,0
249,86.16329284524005,28.03175348040668,3,3.6973812676658726,5,559.2325434936902,3,4,46.58823858617213,4,0
250,71.76280027836745,31.57120646257364,3,8.819521295323934,5,512.8983193615675,3,3,62.79436418762626,3,1
251,87.06855298094064,43.133299964787554,1,8.428150960123407,4,557.2651383296541,1,1,46.84770218287734,1,1
252,39.70996828215104,38.07790078863895,1,3.07102956978387,1,521.5612877524206,4,4,77.7175167219505,4,0
253,46.78793668133501,34.991405765163584,10,2.605283723618329,1,509.3763952352162,2,3,37.53278413205054,3,0
254,81.38261563646158,37.07439565805775,8,4.842320885662051,5,599.3504569879779,6,5,56.72757191530391,5,1
255,64.7991224991943,41.19159493431577,1,7.185933290966782,2,544.3922270543218,1,0,62.2619020797149,0,0
256,78.75038319753726,42.73174054552684,5,5.4077558315870204,4,519.8630644527822,4,2,44.78769014229721,2,1
